result_id|recipe|acacia_planks|chest|acacia_boat|stick|stripped_acacia_log|chain|acacia_logs|acacia_log|redstone_torch|iron_ingot|amethyst_shard|diorite|cobblestone|andesite|iron_block|smooth_stone_slab|flint|feather|bamboo|bamboo_planks|bamboo_raft|stripped_bamboo_block|bamboo_slab|bamboo_mosaic|bamboo_blocks|planks|wooden_slabs|glass|obsidian|nether_star|honeycomb|bowl|beetroot|birch_planks|birch_boat|stripped_birch_log|birch_logs|birch_log|blackstone|black_wool|candle|black_dye|sand|gravel|ink_sac|wither_rose|black_stained_glass|glass_pane|terracotta|smooth_stone|furnace|blaze_rod|blue_wool|blue_dye|lapis_lazuli|cornflower|packed_ice|blue_stained_glass|diamond|copper_block|bolt_armor_trim_smithing_template|bone_meal|bone|bone_block|paper|leather|book|string|wheat|stone_crafting_materials|brick|bricks|brown_wool|brown_dye|cocoa_beans|brown_stained_glass|copper_ingot|milk_bucket|sugar|egg|sculk_sensor|coals|logs|fishing_rod|carrot|iron_nugget|cherry_planks|cherry_boat|stripped_cherry_log|cherry_logs|cherry_log|minecart|cut_copper_slab|cobbled_deepslate_slab|nether_brick_slab|polished_blackstone_slab|quartz_slab|red_sandstone_slab|sandstone_slab|stone_brick_slab|tuff_slab|tuff_brick_slab|clay_ball|gold_ingot|redstone|coal_block|coal|dirt|coast_armor_trim_smithing_template|cobbled_deepslate|stone|quartz|nautilus_shell|heart_of_the_sea|waxed_copper_block|crafting_table|dropper|creeper_head|crimson_planks|stripped_crimson_stem|crimson_stem|crimson_stems|tripwire_hook|cut_copper|red_sandstone|cut_red_sandstone|sandstone|cut_sandstone|cyan_wool|cyan_dye|green_dye|pitcher_plant|cyan_stained_glass|dark_oak_planks|dark_oak_boat|stripped_dark_oak_log|dark_oak_logs|dark_oak_log|prismarine_shard|dark_prismarine|polished_deepslate|deepslate_bricks|deepslate_tiles|stone_pressure_plate|diamond_block|bow|dried_kelp_block|dried_kelp|pointed_dripstone|dune_armor_trim_smithing_template|of_any_bed|of_any_carpet|of_any_wool|gray_dye|light_blue_dye|light_gray_dye|lime_dye|magenta_dye|orange_dye|pink_dye|purple_dye|red_dye|white_dye|yellow_dye|emerald_block|emerald|ender_eye|ender_pearl|blaze_powder|ghast_tear|popped_chorus_fruit|end_stone|end_stone_bricks|exposed_cut_copper_slab|exposed_copper|exposed_cut_copper|eye_armor_trim_smithing_template|spider_eye|brown_mushroom|gunpowder|minecraft:coal|oxeye_daisy|breeze_rod|flow_armor_trim_smithing_template|gold_nugget|melon_slice|glowstone_dust|item_frame|glow_ink_sac|apple|gold_block|granite|gray_wool|gray_stained_glass|green_wool|green_stained_glass|stone_slab|honey_bottle|honey_block|glass_bottle|hopper|host_armor_trim_smithing_template|carved_pumpkin|torch|jungle_planks|jungle_boat|stripped_jungle_log|jungle_logs|jungle_log|lapis_block|slime_ball|rabbit_hide|bookshelf|light_blue_wool|blue_orchid|light_blue_stained_glass|light_gray_wool|azure_bluet|white_tulip|light_gray_stained_glass|lime_wool|lime_stained_glass|netherite_ingot|chiseled_stone_bricks|heavy_core|magenta_wool|allium|lilac|magenta_stained_glass|magma_cream|mangrove_planks|mangrove_boat|stripped_mangrove_log|mangrove_logs|mangrove_log|compass|enchanted_golden_apple|moss_block|vine|mossy_cobblestone|stone_bricks|mossy_stone_bricks|mud|mangrove_roots|packed_mud|mud_bricks|red_mushroom|disc_fragment_5|netherite_scrap|netherite_block|netherrack|netherite_upgrade_smithing_template|nether_brick|nether_bricks|nether_wart|oak_planks|oak_boat|stripped_oak_log|oak_logs|oak_log|orange_wool|orange_tulip|torchflower|orange_stained_glass|oxidized_cut_copper_slab|oxidized_copper|oxidized_cut_copper|ice|wool|sugar_cane|pink_wool|peony|pink_petals|pink_tulip|pink_stained_glass|polished_andesite|basalt|polished_blackstone|polished_blackstone_bricks|polished_diorite|polished_granite|tuff|polished_tuff|prismarine_bricks|prismarine|pumpkin|purple_wool|purple_stained_glass|purpur_slab|purpur_block|quartz_block|chiseled_quartz_block|baked_potato|cooked_rabbit|raiser_armor_trim_smithing_template|raw_copper_block|raw_copper|raw_gold_block|raw_gold|raw_iron_block|raw_iron|echo_shard|redstone_block|glowstone|red_wool|poppy|rose_bush|red_tulip|red_nether_bricks|red_sand|red_stained_glass|crying_obsidian|rib_armor_trim_smithing_template|prismarine_crystals|sentry_armor_trim_smithing_template|shaper_armor_trim_smithing_template|shulker_shell|silence_armor_trim_smithing_template|wither_skeleton_skull|slime_block|smooth_quartz|smooth_red_sandstone|smooth_sandstone|snout_armor_trim_smithing_template|snow_block|snowball|soul_fire_base_blocks|soul_torch|arrow|spire_armor_trim_smithing_template|spruce_planks|spruce_boat|stripped_spruce_log|spruce_logs|spruce_log|piston|stone_tool_materials|stripped_warped_stem|hay_block|tide_armor_trim_smithing_template|tnt|tuff_bricks|turtle_scute|vex_armor_trim_smithing_template|ward_armor_trim_smithing_template|warped_planks|warped_fungus|warped_stem|warped_stems|waxed_cut_copper_slab|chiseled_copper|copper_bulb|copper_door|copper_grate|copper_trapdoor|waxed_cut_copper|cut_copper_stairs|waxed_exposed_cut_copper_slab|exposed_chiseled_copper|waxed_exposed_copper|exposed_copper_bulb|exposed_copper_door|exposed_copper_grate|exposed_copper_trapdoor|waxed_exposed_cut_copper|exposed_cut_copper_stairs|waxed_oxidized_cut_copper_slab|oxidized_chiseled_copper|waxed_oxidized_copper|oxidized_copper_bulb|oxidized_copper_door|oxidized_copper_grate|oxidized_copper_trapdoor|waxed_oxidized_cut_copper|oxidized_cut_copper_stairs|waxed_weathered_cut_copper_slab|weathered_chiseled_copper|waxed_weathered_copper|weathered_copper_bulb|weathered_copper_door|weathered_copper|weathered_copper_grate|weathered_copper_trapdoor|weathered_cut_copper|waxed_weathered_cut_copper|weathered_cut_copper_slab|weathered_cut_copper_stairs|wayfinder_armor_trim_smithing_template|white_wool|lily_of_the_valley|white_stained_glass|wild_armor_trim_smithing_template|armadillo_scute|yellow_wool|dandelion|sunflower|yellow_stained_glass
acacia_stairs|['acacia_planks', ' ', ' ', 'acacia_planks', 'acacia_planks', ' ', 'acacia_planks', 'acacia_planks', 'acacia_planks']|6.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
acacia_trapdoor|['acacia_planks', 'acacia_planks', 'acacia_planks', 'acacia_planks', 'acacia_planks', 'acacia_planks', ' ', ' ', ' ']|6.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
acacia_wood|['acacia_log', 'acacia_log', 'acacia_log', 'acacia_log', ' ', ' ', ' ', ' ', ' ']||||||||4.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
activator_rail|['iron_ingot', 'stick', 'iron_ingot', 'iron_ingot', 'redstone_torch', 'iron_ingot', 'iron_ingot', 'stick', 'iron_ingot']||||2.0|||||1.0|6.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
amethyst_block|['amethyst_shard', 'amethyst_shard', 'amethyst_shard', 'amethyst_shard', ' ', ' ', ' ', ' ', ' ']|||||||||||4.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
andesite|['diorite', 'cobblestone', ' ', ' ', ' ', ' ', ' ', ' ', ' ']||||||||||||1.0|1.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
andesite_slab|['andesite', 'andesite', 'andesite', ' ', ' ', ' ', ' ', ' ', ' ']||||||||||||||3.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
andesite_stairs|['andesite', ' ', ' ', 'andesite', 'andesite', ' ', 'andesite', 'andesite', 'andesite']||||||||||||||6.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
andesite_wall|['andesite', 'andesite', 'andesite', 'andesite', 'andesite', 'andesite', ' ', ' ', ' ']||||||||||||||6.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
anvil|['iron_block', 'iron_block', 'iron_block', ' ', 'iron_ingot', ' ', 'iron_ingot', 'iron_ingot', 'iron_ingot']||||||||||4.0|||||3.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
armor_stand|['stick', 'stick', 'stick', ' ', 'stick', ' ', 'stick', 'smooth_stone_slab', 'stick']||||6.0||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
arrow|['flint', 'stick', 'feather', ' ', ' ', ' ', ' ', ' ', ' ']||||1.0|||||||||||||1.0|1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
bamboo_block|['bamboo', 'bamboo', 'bamboo', 'bamboo', 'bamboo', 'bamboo', 'bamboo', 'bamboo', 'bamboo']|||||||||||||||||||9.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
bamboo_button|['bamboo_planks', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
bamboo_chest_raft|['chest', 'bamboo_raft', ' ', ' ', ' ', ' ', ' ', ' ', ' ']||1.0|||||||||||||||||||1.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
bamboo_door|['bamboo_planks', 'bamboo_planks', 'bamboo_planks', 'bamboo_planks', 'bamboo_planks', 'bamboo_planks', ' ', ' ', ' ']||||||||||||||||||||6.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
bamboo_fence|['bamboo_planks', 'stick', 'bamboo_planks', 'bamboo_planks', 'stick', 'bamboo_planks', ' ', ' ', ' ']||||2.0||||||||||||||||4.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
bamboo_fence_gate|['stick', 'bamboo_planks', 'stick', 'stick', 'bamboo_planks', 'stick', ' ', ' ', ' ']||||4.0||||||||||||||||2.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
